userName,content,score,reviewCreatedVersion,at,replyContent,repliedAt,content_casefold,content_tokenized,content_stemmed,content_filtered,label
Rina Nur Rahmadani,ini emang wattpadnya yang error atau karena udah populer trus jadi kikir?,1,11.15.1,2025-10-04 08:06:43,,,ini emang wattpadnya yang error atau karena udah populer trus jadi kikir?,"['ini', 'emang', 'wattpad', 'yang', 'error', 'atau', 'karena', 'sudah', 'populer', 'terus', 'jadi', 'kikir']","['ini', 'emang', 'wattpad', 'yang', 'error', 'atau', 'karena', 'sudah', 'populer', 'terus', 'jadi', 'kikir']","['error', 'populer', 'kikir']",negative
Nadin Sahira Nasha,"Entah kenapa, tapi cerita di draft ku hilang semua 😭. itu bug gak sih? Tolong di diperbaiki.",2,11.9.0,2025-10-04 07:49:10,,,"entah kenapa, tapi cerita di draft ku hilang semua 😭. itu bug gak sih? tolong di diperbaiki.","['gabisa', 'kenapa', 'tapi', 'cerita', 'di', 'draft', 'ku', 'hilang', 'semua', 'itu', 'bug', 'tidak', 'sih', 'tolong', 'di', 'diperbaiki']","['gabisa', 'kenapa', 'tapi', 'cerita', 'di', 'draft', 'ku', 'hilang', 'semua', 'itu', 'bug', 'tidak', 'sih', 'tolong', 'di', 'baik']","['gabisa', 'cerita', 'draft', 'hilang', 'bug', 'baik']",negative
Risna Waty,"tdk perlu basa basi intinya"" Oren adalah dunia ke dua ku """,5,11.15.1,2025-10-04 05:05:09,,,"tdk perlu basa basi intinya"" oren adalah dunia ke dua ku ""","['tidak', 'perlu', 'basa', 'basi', 'intinya', 'oren', 'adalah', 'dunia', 'ke', 'dua', 'ku']","['tidak', 'perlu', 'basa', 'basi', 'inti', 'oren', 'adalah', 'dunia', 'ke', 'dua', 'ku']","['basa', 'basi', 'inti', 'oren', 'dunia']",positive
Vera Seltiyo,seru bangettt,4,,2025-10-04 04:23:41,,,seru bangettt,"['seru', 'banget']","['seru', 'banget']",['seru'],positive
Hera Lita,"iklannya kenapa harus 2× setiap mau buka bab selanjutnya, padahal dulunya iklannya cuma 1× setiap mau buka bab selanjutnya, semakin update semakin gk jelas, waktu masuk juga lama banget",5,,2025-10-04 00:55:02,,,"iklannya kenapa harus 2× setiap mau buka bab selanjutnya, padahal dulunya iklannya cuma 1× setiap mau buka bab selanjutnya, semakin update semakin gk jelas, waktu masuk juga lama banget","['iklannya', 'kenapa', 'harus', 'kali', 'setiap', 'mau', 'buka', 'bab', 'se', 'lanjut', 'nya', 'padahal', 'dulunya', 'iklannya', 'cuma', 'kali', 'setiap', 'mau', 'buka', 'bab', 'se', 'lanjut', 'nya', 'semakin', 'update', 'semakin', 'tidak', 'jelas', 'waktu', 'masuk', 'juga', 'lama', 'banget']","['iklan', 'kenapa', 'harus', 'kali', 'tiap', 'mau', 'buka', 'bab', 'se', 'lanjut', 'nya', 'padahal', 'dulunya', 'iklan', 'cuma', 'kali', 'tiap', 'mau', 'buka', 'bab', 'se', 'lanjut', 'nya', 'makin', 'update', 'makin', 'tidak', 'jelas', 'waktu', 'masuk', 'juga', 'lama', 'banget']","['iklan', 'bab', 'dulunya', 'iklan', 'bab', 'update', 'waktu', 'masuk', 'lama']",positive
H_n Patria,Sejak diperbarui apk nya jadi sering nge bug... harus ditutup dulu apknya dan mengulang dari awal lagi...,3,11.12.1,2025-10-04 00:51:40,,,sejak diperbarui apk nya jadi sering nge bug... harus ditutup dulu apknya dan mengulang dari awal lagi...,"['sejak', 'diperbarui', 'aplikasi', 'nya', 'jadi', 'sering', 'nge', 'bug', 'harus', 'ditutup', 'dulu', 'aplikasi', 'dan', 'mengulang', 'dari', 'awal', 'lagi']","['sejak', 'baru', 'aplikasi', 'nya', 'jadi', 'sering', 'nge', 'bug', 'harus', 'tutup', 'dulu', 'aplikasi', 'dan', 'ulang', 'dari', 'awal', 'lagi']","['sejak', 'bug', 'tutup', 'awal']",neutral
Aulia Sheli,"min tolong dong di perbaiki setiap scroll di perpustakaan selalu balik ke awal trs, sama setiap pencet novel yg update bukan nya ke buka malah ke beranda awal trs harap di perbaiki bug nya",2,11.15.1,2025-10-04 00:29:42,,,"min tolong dong di perbaiki setiap scroll di perpustakaan selalu balik ke awal trs, sama setiap pencet novel yg update bukan nya ke buka malah ke beranda awal trs harap di perbaiki bug nya","['min', 'tolong', 'dong', 'di', 'perbaiki', 'setiap', 'scroll', 'di', 'perpustakaan', 'selalu', 'balik', 'ke', 'awal', 'terus', 'sama', 'setiap', 'pencet', 'novel', 'yang', 'update', 'bukan', 'nya', 'ke', 'buka', 'malah', 'ke', 'beranda', 'awal', 'terus', 'harap', 'di', 'perbaiki', 'bug', 'nya']","['min', 'tolong', 'dong', 'di', 'baik', 'tiap', 'scroll', 'di', 'pustaka', 'selalu', 'balik', 'ke', 'awal', 'terus', 'sama', 'tiap', 'pencet', 'novel', 'yang', 'update', 'bukan', 'nya', 'ke', 'buka', 'malah', 'ke', 'beranda', 'awal', 'terus', 'harap', 'di', 'baik', 'bug', 'nya']","['baik', 'scroll', 'pustaka', 'awal', 'novel', 'update', 'beranda', 'awal', 'baik', 'bug']",negative
Kombur Yeyedg,kenapa saya tidak bisa login?? saya sudah mencoba beberapa kali tetapi tetap saja tidak bisa,1,11.15.1,2025-10-03 16:25:21,,,kenapa saya tidak bisa login?? saya sudah mencoba beberapa kali tetapi tetap saja tidak bisa,"['kenapa', 'saya', 'tidak', 'bisa', 'login', 'saya', 'sudah', 'mencoba', 'beberapa', 'kali', 'tetapi', 'tetap', 'saja', 'tidak', 'bisa']","['kenapa', 'saya', 'tidak', 'bisa', 'login', 'saya', 'sudah', 'coba', 'beberapa', 'kali', 'tetapi', 'tetap', 'saja', 'tidak', 'bisa']","['login', 'tetapi']",negative
Athaya,"ini kenapa sering ke log out sendiri ya? ngebug parah ini aplikasi padahal bagus buat baca2. tolong dong di perbaiki. tiba2 suka ke log out sendiri, sy pdhl udah ganti email dan hp tetep aja ngebug kyk eror lah ke log out sendiri. tolong pihak wattpad diperbaiki.",2,11.15.1,2025-10-03 16:10:19,,,"ini kenapa sering ke log out sendiri ya? ngebug parah ini aplikasi padahal bagus buat baca2. tolong dong di perbaiki. tiba2 suka ke log out sendiri, sy pdhl udah ganti email dan hp tetep aja ngebug kyk eror lah ke log out sendiri. tolong pihak wattpad diperbaiki.","['ini', 'kenapa', 'sering', 'ke', 'login', 'out', 'sendiri', 'iya', 'bug', 'parah', 'ini', 'aplikasi', 'padahal', 'bagus', 'buat', 'baca', 'tolong', 'dong', 'di', 'perbaiki', 'tiba', 'suka', 'ke', 'login', 'out', 'sendiri', 'saya', 'padahal', 'sudah', 'ganti', 'email', 'dan', 'hp', 'tetap', 'aja', 'bug', 'kyk', 'error', 'lah', 'ke', 'login', 'out', 'sendiri', 'tolong', 'pihak', 'wattpad', 'diperbaiki']","['ini', 'kenapa', 'sering', 'ke', 'login', 'out', 'sendiri', 'iya', 'bug', 'parah', 'ini', 'aplikasi', 'padahal', 'bagus', 'buat', 'baca', 'tolong', 'dong', 'di', 'baik', 'tiba', 'suka', 'ke', 'login', 'out', 'sendiri', 'saya', 'padahal', 'sudah', 'ganti', 'email', 'dan', 'hp', 'tetap', 'aja', 'bug', 'kyk', 'error', 'lah', 'ke', 'login', 'out', 'sendiri', 'tolong', 'pihak', 'wattpad', 'baik']","['login', 'out', 'bug', 'baca', 'baik', 'suka', 'login', 'out', 'email', 'bug', 'error', 'login', 'out', 'baik']",negative
Yusma Fianty,"gatau kenapa akun aku tiba tiba ilang, terus ga bisa masuk lagi, udah bikin akun baru malah tambah eror padahal mau baca cerita selanjutnya ehh malah ga bisa masuk. tolong di perbaikin lagi dongg soalnya saya mau baca tapi gabisa masuk.",3,,2025-10-03 14:38:26,,,"gatau kenapa akun aku tiba tiba ilang, terus ga bisa masuk lagi, udah bikin akun baru malah tambah eror padahal mau baca cerita selanjutnya ehh malah ga bisa masuk. tolong di perbaikin lagi dongg soalnya saya mau baca tapi gabisa masuk.","['gatau', 'kenapa', 'akun', 'aku', 'tiba', 'tiba', 'hilang', 'terus', 'tidak', 'bisa', 'masuk', 'lagi', 'sudah', 'bikin', 'akun', 'baru', 'malah', 'tambah', 'error', 'padahal', 'mau', 'baca', 'cerita', 'se', 'lanjut', 'nya', 'ehh', 'malah', 'tidak', 'bisa', 'masuk', 'tolong', 'di', 'perbaikin', 'lagi', 'dong', 'soalnya', 'saya', 'mau', 'baca', 'tapi', 'gabisa', 'masuk']","['gatau', 'kenapa', 'akun', 'aku', 'tiba', 'tiba', 'hilang', 'terus', 'tidak', 'bisa', 'masuk', 'lagi', 'sudah', 'bikin', 'akun', 'baru', 'malah', 'tambah', 'error', 'padahal', 'mau', 'baca', 'cerita', 'se', 'lanjut', 'nya', 'ehh', 'malah', 'tidak', 'bisa', 'masuk', 'tolong', 'di', 'perbaikin', 'lagi', 'dong', 'soal', 'saya', 'mau', 'baca', 'tapi', 'gabisa', 'masuk']","['akun', 'hilang', 'masuk', 'akun', 'error', 'baca', 'cerita', 'ehh', 'masuk', 'perbaikin', 'baca', 'gabisa', 'masuk']",neutral
Athaya Yaya,"Aku suka baca disini nyaman dari tahun 2020 dulu bagus banget tapi makin kesini kok makin ngawur, banyak bug tulisan yang ilang sendiri waktu pencet cerita yang update malah keluar aplikasi dll. Aku pikir gara-gara HP ku yang kentang ternyata tidak. Untuk Dev tolong perbaiki jujur ini sangat tidak nyaman oh satu lagi ini ku kasih 4 bintang padahal udah kecewa karena dulu apa ini sangat sangat bagus.",4,11.15.1,2025-10-03 14:09:04,,,"aku suka baca disini nyaman dari tahun 2020 dulu bagus banget tapi makin kesini kok makin ngawur, banyak bug tulisan yang ilang sendiri waktu pencet cerita yang update malah keluar aplikasi dll. aku pikir gara-gara hp ku yang kentang ternyata tidak. untuk dev tolong perbaiki jujur ini sangat tidak nyaman oh satu lagi ini ku kasih 4 bintang padahal udah kecewa karena dulu apa ini sangat sangat bagus.","['aku', 'suka', 'baca', 'disini', 'nyaman', 'dari', 'tahun', 'dulu', 'bagus', 'banget', 'tapi', 'makin', 'kesini', 'kok', 'makin', 'ngawur', 'banyak', 'bug', 'tulisan', 'yang', 'hilang', 'sendiri', 'waktu', 'pencet', 'cerita', 'yang', 'update', 'malah', 'keluar', 'aplikasi', 'dll', 'aku', 'pikir', 'gara', 'gara', 'hp', 'ku', 'yang', 'kentang', 'ternyata', 'tidak', 'untuk', 'dev', 'tolong', 'perbaiki', 'jujur', 'ini', 'sangat', 'tidak', 'nyaman', 'oh', 'satu', 'lagi', 'ini', 'ku', 'kasih', 'bintang', 'padahal', 'sudah', 'kecewa', 'karena', 'dulu', 'apa', 'ini', 'sangat', 'sangat', 'bagus']","['aku', 'suka', 'baca', 'sini', 'nyaman', 'dari', 'tahun', 'dulu', 'bagus', 'banget', 'tapi', 'makin', 'kesini', 'kok', 'makin', 'ngawur', 'banyak', 'bug', 'tulis', 'yang', 'hilang', 'sendiri', 'waktu', 'pencet', 'cerita', 'yang', 'update', 'malah', 'keluar', 'aplikasi', 'dll', 'aku', 'pikir', 'gara', 'gara', 'hp', 'ku', 'yang', 'kentang', 'nyata', 'tidak', 'untuk', 'dev', 'tolong', 'baik', 'jujur', 'ini', 'sangat', 'tidak', 'nyaman', 'oh', 'satu', 'lagi', 'ini', 'ku', 'kasih', 'bintang', 'padahal', 'sudah', 'kecewa', 'karena', 'dulu', 'apa', 'ini', 'sangat', 'sangat', 'bagus']","['suka', 'baca', 'nyaman', 'ngawur', 'bug', 'tulis', 'hilang', 'waktu', 'cerita', 'update', 'keluar', 'kentang', 'dev', 'baik', 'nyaman', 'oh', 'bintang', 'kecewa']",positive
April Histeric,sumpah wattpad kaga jls banget najis tiba-tiba keluar dari akun terus ga bisa login lagi najis cuhhh,1,,2025-10-03 12:14:55,,,sumpah wattpad kaga jls banget najis tiba-tiba keluar dari akun terus ga bisa login lagi najis cuhhh,"['sumpah', 'wattpad', 'tidak', 'jelas', 'banget', 'najis', 'tiba', 'tiba', 'keluar', 'dari', 'akun', 'terus', 'tidak', 'bisa', 'login', 'lagi', 'najis', 'cuh']","['sumpah', 'wattpad', 'tidak', 'jelas', 'banget', 'najis', 'tiba', 'tiba', 'keluar', 'dari', 'akun', 'terus', 'tidak', 'bisa', 'login', 'lagi', 'najis', 'cuh']","['najis', 'keluar', 'akun', 'login', 'najis', 'cuh']",negative
Fatmawati,Terima kasih sudah memberikan media yang bisa membuat saya menyalurkan bakat saya secara gratis 😊.,5,11.15.1,2025-10-03 10:30:29,,,terima kasih sudah memberikan media yang bisa membuat saya menyalurkan bakat saya secara gratis 😊.,"['terima', 'kasih', 'sudah', 'memberikan', 'media', 'yang', 'bisa', 'membuat', 'saya', 'menya', 'lurk', 'an', 'bakat', 'saya', 'secara', 'gratis']","['terima', 'kasih', 'sudah', 'beri', 'media', 'yang', 'bisa', 'buat', 'saya', 'menya', 'lurk', 'an', 'bakat', 'saya', 'cara', 'gratis']","['media', 'menya', 'lurk', 'an', 'bakat', 'gratis']",positive
UMRA Ajja,bagus sekalii,5,,2025-10-03 09:54:58,,,bagus sekalii,"['bagus', 'sekalii']","['bagus', 'sekali']",[],positive
Umam Samsul mutamam,"ah! aplikasi sampah gak bisa login! begitu hina sekali aplikasi ini sampai tidak bisa login seperti sampah yang bau! DITAMBAH LAGI MALAH ADA TULISAN ""TIDAK TERHUBUNG KE INTERNET"" WIFI UDAH MANTAP POLL LU BILANG GK INTERNET?! BUTA MATA MU WATTPAD STRES!",1,11.15.1,2025-10-03 08:41:26,,,"ah! aplikasi sampah gak bisa login! begitu hina sekali aplikasi ini sampai tidak bisa login seperti sampah yang bau! ditambah lagi malah ada tulisan ""tidak terhubung ke internet"" wifi udah mantap poll lu bilang gk internet?! buta mata mu wattpad stres!","['ah', 'aplikasi', 'sampah', 'tidak', 'bisa', 'login', 'begitu', 'hina', 'sekali', 'aplikasi', 'ini', 'sampai', 'tidak', 'bisa', 'login', 'seperti', 'sampah', 'yang', 'bau', 'ditambah', 'lagi', 'malah', 'ada', 'tulisan', 'tidak', 'terhubung', 'ke', 'internet', 'wifi', 'sudah', 'mantap', 'poll', 'kamu', 'bilang', 'tidak', 'internet', 'buta', 'mata', 'mu', 'wattpad', 'stres']","['ah', 'aplikasi', 'sampah', 'tidak', 'bisa', 'login', 'begitu', 'hina', 'sekali', 'aplikasi', 'ini', 'sampai', 'tidak', 'bisa', 'login', 'seperti', 'sampah', 'yang', 'bau', 'tambah', 'lagi', 'malah', 'ada', 'tulis', 'tidak', 'hubung', 'ke', 'internet', 'wifi', 'sudah', 'mantap', 'poll', 'kamu', 'bilang', 'tidak', 'internet', 'buta', 'mata', 'mu', 'wattpad', 'stres']","['ah', 'sampah', 'login', 'hina', 'login', 'sampah', 'bau', 'tulis', 'internet', 'wifi', 'mantap', 'poll', 'internet', 'buta', 'mata', 'mu', 'stres']",negative
Kalista nur aqilah,bagus mines nya suka bug aja,5,11.15.1,2025-10-03 08:27:23,,,bagus mines nya suka bug aja,"['bagus', 'mines', 'nya', 'suka', 'bug', 'aja']","['bagus', 'mes', 'nya', 'suka', 'bug', 'aja']","['mes', 'suka', 'bug']",positive
Violetta,semenjak ada Wattpad hari-hari ku bisa bikin cerita,5,,2025-10-03 07:22:48,,,semenjak ada wattpad hari-hari ku bisa bikin cerita,"['semenjak', 'ada', 'wattpad', 'hari', 'hari', 'ku', 'bisa', 'bikin', 'cerita']","['semenjak', 'ada', 'wattpad', 'hari', 'hari', 'ku', 'bisa', 'bikin', 'cerita']","['semenjak', 'cerita']",positive
Mas Diman,"Temukan platform menulis yang paling disukai di penjuru dunia. Wattpad. Tempat cerita menjadi hidup. Baca dan tulis cerita orisinal dalam bahasamu! Temukan platform bercerita sosial yang menghubungkan komunitas global melalui kekuatan bercerita. Unduh Wattpad hari ini untuk mulai membaca atau menulis. Bergabung dengan Wattpad untuk menjadi anggota komunitas pencinta cerita internasional. Terhubung dengan pembaca & penulis lain yang antusias, berkomentar langsung pada cerita yang kamu baca, da",5,,2025-10-03 05:48:09,,,"temukan platform menulis yang paling disukai di penjuru dunia. wattpad. tempat cerita menjadi hidup. baca dan tulis cerita orisinal dalam bahasamu! temukan platform bercerita sosial yang menghubungkan komunitas global melalui kekuatan bercerita. unduh wattpad hari ini untuk mulai membaca atau menulis. bergabung dengan wattpad untuk menjadi anggota komunitas pencinta cerita internasional. terhubung dengan pembaca & penulis lain yang antusias, berkomentar langsung pada cerita yang kamu baca, da","['temukan', 'platform', 'menulis', 'yang', 'paling', 'disukai', 'di', 'penjuru', 'dunia', 'wattpad', 'tempat', 'cerita', 'menjadi', 'hidup', 'baca', 'dan', 'tulis', 'cerita', 'orisinal', 'dalam', 'bahasamu', 'temukan', 'platform', 'bercerita', 'sosial', 'yang', 'meng', 'hub', 'ung', 'kan', 'komunitas', 'global', 'melalui', 'kekuatan', 'bercerita', 'simpan', 'wattpad', 'hari', 'ini', 'untuk', 'mulai', 'membaca', 'atau', 'menulis', 'bergabung', 'dengan', 'wattpad', 'untuk', 'menjadi', 'anggota', 'komunitas', 'pencinta', 'cerita', 'internasional', 'terhubung', 'dengan', 'pembaca', 'penulis', 'lain', 'yang', 'antusias', 'ber', 'komentar', 'langsung', 'pada', 'cerita', 'yang', 'kamu', 'baca', 'da']","['temu', 'platform', 'tulis', 'yang', 'paling', 'suka', 'di', 'penjuru', 'dunia', 'wattpad', 'tempat', 'cerita', 'jadi', 'hidup', 'baca', 'dan', 'tulis', 'cerita', 'orisinal', 'dalam', 'bahasa', 'temu', 'platform', 'cerita', 'sosial', 'yang', 'meng', 'hub', 'ung', 'kan', 'komunitas', 'global', 'lalu', 'kuat', 'cerita', 'simpan', 'wattpad', 'hari', 'ini', 'untuk', 'mulai', 'baca', 'atau', 'tulis', 'gabung', 'dengan', 'wattpad', 'untuk', 'jadi', 'anggota', 'komunitas', 'cinta', 'cerita', 'internasional', 'hubung', 'dengan', 'baca', 'tulis', 'lain', 'yang', 'antusias', 'ber', 'komentar', 'langsung', 'pada', 'cerita', 'yang', 'kamu', 'baca', 'da']","['platform', 'tulis', 'suka', 'penjuru', 'dunia', 'cerita', 'hidup', 'baca', 'tulis', 'cerita', 'orisinal', 'bahasa', 'platform', 'cerita', 'sosial', 'meng', 'hub', 'ung', 'komunitas', 'global', 'kuat', 'cerita', 'simpan', 'baca', 'tulis', 'gabung', 'anggota', 'komunitas', 'cinta', 'cerita', 'internasional', 'baca', 'tulis', 'antusias', 'komentar', 'cerita', 'baca', 'da']",positive
Raesah Astillah,"bagus sih cuman kalo mau masuk kadang keluar sendiri 😔 itu gimana ya, padahal bagus aplikasi nya cuman yang kurang ya itu keluar sendiri 😔 tapi tetap aku suka aplikasi nya walau harus hapus donwload lagi biar bisa masuk",4,,2025-10-03 05:42:34,,,"bagus sih cuman kalo mau masuk kadang keluar sendiri 😔 itu gimana ya, padahal bagus aplikasi nya cuman yang kurang ya itu keluar sendiri 😔 tapi tetap aku suka aplikasi nya walau harus hapus donwload lagi biar bisa masuk","['bagus', 'sih', 'cuma', 'kalau', 'mau', 'masuk', 'kadang', 'keluar', 'sendiri', 'itu', 'gimana', 'iya', 'padahal', 'bagus', 'aplikasi', 'nya', 'cuma', 'yang', 'kurang', 'iya', 'itu', 'keluar', 'sendiri', 'tapi', 'tetap', 'aku', 'suka', 'aplikasi', 'nya', 'walau', 'harus', 'hapus', 'donwload', 'lagi', 'biar', 'bisa', 'masuk']","['bagus', 'sih', 'cuma', 'kalau', 'mau', 'masuk', 'kadang', 'keluar', 'sendiri', 'itu', 'gimana', 'iya', 'padahal', 'bagus', 'aplikasi', 'nya', 'cuma', 'yang', 'kurang', 'iya', 'itu', 'keluar', 'sendiri', 'tapi', 'tetap', 'aku', 'suka', 'aplikasi', 'nya', 'walau', 'harus', 'hapus', 'donwload', 'lagi', 'biar', 'bisa', 'masuk']","['masuk', 'keluar', 'keluar', 'suka', 'hapus', 'donwload', 'masuk']",positive
Ajeng Pangestu,hari ini WP kenapa ya kok tiba tiba ngak bisa Log in,5,11.15.1,2025-10-03 04:22:37,,,hari ini wp kenapa ya kok tiba tiba ngak bisa log in,"['hari', 'ini', 'wattpad', 'kenapa', 'iya', 'kok', 'tiba', 'tiba', 'tidak', 'bisa', 'login', 'in']","['hari', 'ini', 'wattpad', 'kenapa', 'iya', 'kok', 'tiba', 'tiba', 'tidak', 'bisa', 'login', 'in']","['login', 'in']",positive
Delcha Febriana,"ko semakin kesini makin ngebug, ngeleg ya? smnjk diupdate update mau buka aja lama bgt loadingnya pdhl jaringan lancar buat buka apk lain.. dan satu lagi ini knp cerita offline nya cmn bisa 2 wktu itu bs 25 sumpah diperbaiki dong jadi gbsa leluasan bca cerita ini itu",3,11.15.1,2025-10-03 01:16:53,,,"ko semakin kesini makin ngebug, ngeleg ya? smnjk diupdate update mau buka aja lama bgt loadingnya pdhl jaringan lancar buat buka apk lain.. dan satu lagi ini knp cerita offline nya cmn bisa 2 wktu itu bs 25 sumpah diperbaiki dong jadi gbsa leluasan bca cerita ini itu","['ko', 'semakin', 'kesini', 'makin', 'bug', 'ngeleg', 'iya', 'smnjk', 'diupdate', 'update', 'mau', 'buka', 'aja', 'lama', 'banget', 'loadingnya', 'padahal', 'jaringan', 'lancar', 'buat', 'buka', 'aplikasi', 'lain', 'dan', 'satu', 'lagi', 'ini', 'kenapa', 'cerita', 'offline', 'nya', 'cuma', 'bisa', 'wktu', 'itu', 'bisa', 'sumpah', 'diperbaiki', 'dong', 'jadi', 'gbsa', 'leluasan', 'bca', 'cerita', 'ini', 'itu']","['ko', 'makin', 'kesini', 'makin', 'bug', 'ngeleg', 'iya', 'smnjk', 'diupdate', 'update', 'mau', 'buka', 'aja', 'lama', 'banget', 'loadingnya', 'padahal', 'jaring', 'lancar', 'buat', 'buka', 'aplikasi', 'lain', 'dan', 'satu', 'lagi', 'ini', 'kenapa', 'cerita', 'offline', 'nya', 'cuma', 'bisa', 'wktu', 'itu', 'bisa', 'sumpah', 'baik', 'dong', 'jadi', 'gbsa', 'luas', 'bca', 'cerita', 'ini', 'itu']","['bug', 'ngeleg', 'smnjk', 'diupdate', 'update', 'lama', 'loadingnya', 'jaring', 'cerita', 'offline', 'wktu', 'baik', 'gbsa', 'luas', 'bca', 'cerita']",neutral
Nerazury Destia Yanti,kenapa sulit di buka ya apikasinya. padahal wifi lancar,5,,2025-10-03 01:11:28,,,kenapa sulit di buka ya apikasinya. padahal wifi lancar,"['kenapa', 'sulit', 'di', 'buka', 'iya', 'apikasinya', 'padahal', 'wifi', 'lancar']","['kenapa', 'sulit', 'di', 'buka', 'iya', 'apikasinya', 'padahal', 'wifi', 'lancar']","['apikasinya', 'wifi']",positive
Yanti Yunda,knp sekarang susah untuk buka bab,1,11.15.1,2025-10-03 00:18:18,,,knp sekarang susah untuk buka bab,"['kenapa', 'sekarang', 'susah', 'untuk', 'buka', 'bab']","['kenapa', 'sekarang', 'susah', 'untuk', 'buka', 'bab']","['susah', 'bab']",negative
Laila Seo,error ga bisa masuk,1,,2025-10-02 22:23:54,,,error ga bisa masuk,"['error', 'tidak', 'bisa', 'masuk']","['error', 'tidak', 'bisa', 'masuk']","['error', 'masuk']",negative
Nasya Althafunnisa,padahal ada sinyalnya dari sananya bilang gak ada sinyalnya,5,9.92.0,2025-10-02 22:18:49,,,padahal ada sinyalnya dari sananya bilang gak ada sinyalnya,"['padahal', 'ada', 'sinyalnya', 'dari', 'sananya', 'bilang', 'tidak', 'ada', 'sinyalnya']","['padahal', 'ada', 'sinyal', 'dari', 'sana', 'bilang', 'tidak', 'ada', 'sinyal']","['sinyal', 'sana', 'sinyal']",positive
Putri Solehati,ceritanya bagus seru². tapi kenapa makin kesini aneh ya. ada tulisan 9 notifikasi di Wattpad tapi pas di buka lonceng bell nya gaada 0 di reset tetep gaada aneh.,4,11.15.1,2025-10-02 18:14:13,,,ceritanya bagus seru². tapi kenapa makin kesini aneh ya. ada tulisan 9 notifikasi di wattpad tapi pas di buka lonceng bell nya gaada 0 di reset tetep gaada aneh.,"['ceritanya', 'bagus', 'seru', 'tapi', 'kenapa', 'makin', 'kesini', 'aneh', 'iya', 'ada', 'tulisan', 'notifikasi', 'di', 'wattpad', 'tapi', 'pas', 'di', 'buka', 'lonceng', 'bell', 'nya', 'gaada', 'di', 'reset', 'tetap', 'gaada', 'aneh']","['cerita', 'bagus', 'seru', 'tapi', 'kenapa', 'makin', 'kesini', 'aneh', 'iya', 'ada', 'tulis', 'notifikasi', 'di', 'wattpad', 'tapi', 'pas', 'di', 'buka', 'lonceng', 'bell', 'nya', 'gaada', 'di', 'reset', 'tetap', 'gaada', 'aneh']","['cerita', 'seru', 'aneh', 'tulis', 'notifikasi', 'lonceng', 'bell', 'reset', 'aneh']",positive
Ftryn Amd,"Sering banget tiba-tiba kehapus, lagi seru baca, eh besoknya ceritanya kehapus. Ga paham lagi",1,11.15.1,2025-10-02 16:26:51,,,"sering banget tiba-tiba kehapus, lagi seru baca, eh besoknya ceritanya kehapus. ga paham lagi","['sering', 'banget', 'tiba', 'tiba', 'kehapus', 'lagi', 'seru', 'baca', 'eh', 'besoknya', 'ceritanya', 'kehapus', 'tidak', 'paham', 'lagi']","['sering', 'banget', 'tiba', 'tiba', 'hapus', 'lagi', 'seru', 'baca', 'eh', 'besok', 'cerita', 'hapus', 'tidak', 'paham', 'lagi']","['hapus', 'seru', 'baca', 'besok', 'cerita', 'hapus', 'paham']",negative
Kal Ipah,nambah hari nambah parah nih wattpadnya udh bug suka keluar sendiri sama kalau kita pencet notifikasi malah ke layar utama bukannya ke ceritanya,1,11.14.1,2025-10-02 15:48:18,,,nambah hari nambah parah nih wattpadnya udh bug suka keluar sendiri sama kalau kita pencet notifikasi malah ke layar utama bukannya ke ceritanya,"['nambah', 'hari', 'nambah', 'parah', 'nih', 'wattpad', 'sudah', 'bug', 'suka', 'keluar', 'sendiri', 'sama', 'kalau', 'kita', 'pencet', 'notifikasi', 'malah', 'ke', 'layar', 'utama', 'bukannya', 'ke', 'ceritanya']","['nambah', 'hari', 'nambah', 'parah', 'nih', 'wattpad', 'sudah', 'bug', 'suka', 'keluar', 'sendiri', 'sama', 'kalau', 'kita', 'pencet', 'notifikasi', 'malah', 'ke', 'layar', 'utama', 'bukan', 'ke', 'cerita']","['nambah', 'nambah', 'bug', 'suka', 'keluar', 'notifikasi', 'layar', 'utama', 'cerita']",negative
